date,spx_close,spx_divy,rfr_1m,ivol25dput,ivol25dcall,rfr_3m,iv_90,iv_95,iv_97_5
39325,1473.99,1.88,5.72,24.826,17.349,5.62125,26.7665,23.9539,22.5107
39329,1489.42,1.86,5.7975,23.7296,16.7139,5.69813,25.9874,23.1898,21.7313
39330,1472.29,1.88,5.81875,25.2204,18.2704,5.72,27.413,24.6086,23.1705
39331,1478.55,1.87,5.82,24.1953,17.4477,5.72375,27.1642,24.3434,22.8926
39332,1453.55,1.91,5.82375,25.1033,20.3787,5.725,28.8879,26.1354,24.7187
39335,1451.7,1.91,5.80625,27.0817,21.1592,5.70375,29.2932,26.5583,25.1566
39336,1471.49,1.88,5.80313,24.6234,18.8695,5.70313,27.8564,25.0984,23.6838
39337,1471.56,1.89,5.8,23.4389,19.4328,5.70313,27.7421,25.0165,23.6148
39338,1483.95,1.87,5.7525,24.8683,19.1973,5.69438,27.58,24.7587,23.3063
39339,1484.25,1.87,5.61375,23.5445,18.446,5.64625,27.6547,24.7994,23.3291
39342,1476.65,1.88,5.5025,28.3679,21.3307,5.5975,28.3443,25.4847,24.0239
39343,1519.78,1.83,5.49625,19.8653,14.2226,5.5875,24.8691,22.0998,20.6507
39344,1529.03,1.82,5.14875,18.3373,13.8817,5.2375,24.4582,21.5052,19.9922
39345,1518.75,1.83,5.13625,18.8546,13.5423,5.21,24.7451,21.8496,20.3655
39346,1525.75,1.82,5.13125,20.0099,13.6388,5.2025,23.9134,20.991,19.4926
39349,1517.74,1.82,5.12875,19.9705,13.7372,5.2,23.9547,21.1011,19.6204
39350,1517.22,1.83,5.12875,19.3904,13.5511,5.2,23.607,20.748,19.2719
39351,1525.42,1.81,5.12875,18.1063,12.7566,5.19813,22.8655,20.0486,18.6097
39352,1531.38,1.81,5.1275,17.4023,12.1216,5.23063,22.3609,19.5401,18.1194
39353,1526.75,1.81,5.12375,18.3791,13.2101,5.22875,22.9798,20.1638,18.7345
39356,1547.04,1.8,5.12063,17.3652,12.5599,5.23,23.0292,20.0576,18.5494
39357,1546.63,1.8,5.12625,17.7127,12.7089,5.24,23.1831,20.2238,18.7476
39358,1539.6,1.81,5.125,17.5905,12.6867,5.24375,23.7249,20.7488,19.2644
39359,1542.84,1.8,5.125,17.2958,12.7558,5.24375,23.5869,20.535,19.0149
39360,1557.59,1.79,5.12188,14.8134,11.7889,5.24313,22.5387,19.5897,18.1257
39364,1565.15,1.78,5.11625,14.2027,11.483,5.24875,21.8981,19.0741,17.6769
39365,1562.47,1.78,5.11,14.6409,11.9118,5.2475,22.3853,19.5991,18.1975
39366,1554.41,1.78,5.09125,17.0704,14.7246,5.2425,23.4981,20.6949,19.3126
39367,1561.8,1.78,5.06,13.2338,13.1528,5.22375,23.074,20.2676,18.8904
39370,1548.71,1.79,5.045,16.6541,15.0735,5.21438,24.2793,21.3782,19.9657
39371,1538.53,1.81,5.035,19.8397,15.0897,5.20875,24.8205,21.9473,20.567
39372,1541.24,1.8,5.02125,15.6084,13.5257,5.19875,24.2202,21.3726,19.9611
39373,1540.08,1.8,4.9975,18.2568,11.6562,5.18,24.0272,21.1892,19.7701
39374,1500.63,1.85,4.95,24.3197,17.9784,5.15125,26.5695,23.6701,22.253
39377,1506.33,1.85,4.8925,22.7942,16.6138,5.0925,25.6461,22.8102,21.4145
39378,1519.59,1.83,4.8725,21.3569,15.3548,5.08375,24.721,21.9075,20.5187
39379,1515.88,1.84,4.85625,22.1237,15.943,5.065,25.2292,22.3968,20.9985
39380,1514.41,1.84,4.81875,22.4952,16.4006,5.01063,25.3684,22.5822,21.196
39381,1535.28,1.81,4.7925,20.2508,14.6866,4.98375,24.2988,21.5527,20.1869
39384,1540.98,1.81,4.7525,20.6261,15.0966,4.96,24.2836,21.5508,20.183
39385,1531.02,1.82,4.71625,22.2182,16.5991,4.91125,25.0382,22.2641,20.8912
39386,1549.38,1.8,4.70625,18.8743,13.8231,4.89375,23.5845,20.7474,19.3442
39387,1508.44,1.84,4.6875,24.7471,18.1689,4.8775,26.6946,23.8781,22.4726
39388,1509.65,1.84,4.6775,22.699,16.8385,4.865,27.0047,24.1062,22.6642
39391,1502.17,1.85,4.6675,24.5578,18.45,4.875,27.6875,24.7143,23.2496
39392,1520.27,1.83,4.66688,20.9017,15.5379,4.8975,26.0679,23.1707,21.7169
39393,1475.62,1.89,4.665,27.7296,22.2983,4.89625,29.2428,26.2835,24.8097
39394,1474.77,1.89,4.66,25.8757,20.1542,4.88688,29.1128,26.2583,24.8029
39395,1453.7,1.92,4.65938,26.8668,21.4827,4.87938,30.718,27.7502,26.2644
39399,1481.05,1.88,4.65188,23.9983,19.2489,4.86875,28.1283,25.0154,23.4813
39400,1470.58,1.89,4.65813,24.0498,20.0303,4.8775,29.1618,26.0574,24.5229
39401,1451.15,1.92,4.68625,24.0244,20.064,4.905,30.9027,27.7161,26.1526
39402,1458.74,1.91,4.74,28.1693,18.8297,4.94875,29.7931,26.6283,25.0723
39405,1433.27,1.94,4.7675,28.644,20.021,4.98188,30.5566,27.906,26.3588
39406,1439.7,1.93,4.78,26.9996,19.71,5,29.5695,26.913,25.4518
39407,1416.77,1.97,4.78313,28.8366,22.1902,5.015,29.9089,28.013,26.5965
39409,1440.7,1.93,4.79313,27.7292,21.1879,5.04,29.1453,26.6349,25.2554
39412,1407.22,1.98,4.8,30.8653,24.6188,5.05313,31.862,29.1467,27.8253
39413,1428.23,1.95,4.80875,28.2407,22.5151,5.06188,29.5574,27.2783,25.9388
39414,1469.02,1.9,4.82188,25.9169,20.1181,5.08125,27.7993,25.2414,23.8577
39415,1469.72,1.89,5.225,25.6716,20.078,5.12375,27.9703,25.4326,24.0682
39416,1481.14,1.88,5.23625,24.2201,18.6662,5.13125,27.6428,25.0577,23.7521
39419,1472.42,1.89,5.24563,24.6153,19.4986,5.14063,27.7432,25.3018,23.9902
39420,1462.79,1.9,5.25188,24.6934,20.1205,5.15,28.0501,25.4907,24.2294
39421,1485.01,1.87,5.25,23.4772,18.457,5.15063,26.9475,24.3402,23.043
39422,1507.35,1.85,5.2425,21.8859,17.2362,5.14625,25.5228,23.0107,21.7166
39423,1504.66,1.85,5.2375,21.8547,16.9377,5.14063,25.7758,23.2711,21.9766
39426,1515.96,1.83,5.23188,21.8957,17.0483,5.1325,25.6645,22.9981,21.6768
39427,1477.65,1.88,5.20375,25.0615,20.0901,5.11125,27.3167,24.9673,23.7259
39428,1486.59,1.87,5.1025,22.7551,19.1605,5.0575,26.8612,24.302,23.031
39429,1488.41,1.87,5.0275,22.5565,18.2552,4.99063,27.1596,24.5525,23.2601
39430,1467.95,1.9,4.99625,22.5136,18.9624,4.96625,27.5195,25.0338,23.7641
39433,1445.9,1.92,4.965,25.1637,21.3309,4.94125,28.831,26.3455,25.1006
39434,1454.98,1.91,4.94875,22.405,18.7158,4.92625,28.1809,25.5769,24.2909
39435,1453,1.91,4.93188,20.1282,16.7813,4.91,27.1587,24.714,23.4741
39436,1460.12,1.91,4.89625,18.2866,15.4117,4.88375,26.3006,23.906,22.6806
39437,1484.46,1.87,4.865,19.0873,14.6184,4.8575,24.9638,22.396,21.1079
39440,1496.45,1.86,4.855,18.9221,14.156,4.8425,24.8316,22.1721,20.8459
39442,1497.66,1.86,4.855,18.7187,14.2684,4.8425,24.7158,22.1155,20.8199
39443,1476.37,1.89,4.845,20.216,16.0873,4.83,25.9095,23.4044,22.1013
39444,1478.49,1.88,4.63125,21.0072,16.0351,4.72875,26.3778,23.8824,22.5634
39449,1447.16,2.02,4.57,22.2487,19.8321,4.68063,27.8117,25.4795,24.2375
39450,1447.16,2.02,4.54,21.0432,19.436,4.64625,27.0566,24.7435,23.5151
39451,1411.63,2.07,4.515,23.0563,21.7184,4.62,28.0295,25.8603,24.7332
39454,1416.18,2.07,4.44125,23.1807,20.0957,4.54313,27.6551,25.3629,24.188
39455,1390.19,2.11,4.41125,23.944,21.1497,4.505,28.9713,26.8043,25.6559
39456,1409.13,2.07,4.37063,22.5897,19.6344,4.4425,27.7995,25.6021,24.4708
39457,1420.33,2.06,4.31938,21.8741,19.1121,4.37688,27.2311,25.0151,23.8721
39458,1401.02,2.08,4.23625,18.8995,18.1684,4.2575,27.7175,25.6235,24.534
39461,1416.25,2.06,4.08125,22.5363,19.1455,4.055,26.8685,24.7702,23.6785
39462,1380.95,2.1,4.0225,23.4785,21.2039,3.9975,27.535,25.5761,24.5374
39463,1373.2,2.1,3.98938,24.7379,22.0506,3.95125,27.4141,25.4851,24.4736
39464,1333.25,2.15,3.95875,27.4773,24.9753,3.92625,29.659,27.7986,26.8366
39465,1325.19,2.17,3.93438,28.7468,23.1211,3.89375,29.183,27.1755,26.1552
39469,1310.5,2.19,3.77375,33.7921,25.7093,3.7175,30.732,28.4281,27.2607
39470,1338.6,2.14,3.37625,32.0282,23.8076,3.33125,29.7451,27.4995,26.3331
39471,1352.07,2.12,3.285,30.5905,22.8872,3.24375,29.3867,26.98,25.7605
39472,1330.61,2.16,3.3125,31.7833,24.3619,3.30625,30.3796,28.0419,26.852
39475,1353.97,2.12,3.28125,30.1243,23.1622,3.25125,29.3328,26.914,25.6945
39476,1362.3,2.1,3.27125,30.3246,23.276,3.24375,28.8812,26.4595,25.2481
39477,1355.81,2.11,3.26375,30.8351,23.9199,3.23938,29.266,26.8267,25.5992
39478,1378.55,2.08,3.14375,28.017,21.5804,3.11188,28.3166,25.9514,24.7639
39479,1395.42,2.05,3.14125,24.8529,18.9436,3.095,27.3401,24.9545,23.7447
39482,1380.82,2.07,3.18125,27.5653,21.7897,3.145,28.4726,26.0188,24.7962
39483,1336.64,2.15,3.21813,28.5733,26.3178,3.16188,30.4761,28.1127,26.935
39484,1326.45,2.16,3.1925,29.5661,25.6322,3.1275,31.1958,28.7774,27.5661
39485,1336.91,2.14,3.165,27.5146,23.8215,3.09625,30.2479,27.8466,26.6377
39486,1331.29,2.15,3.15375,27.6964,22.802,3.08813,30.4538,28.0064,26.7833
39489,1339.13,2.14,3.13875,28.6686,22.2209,3.07,29.8559,27.4329,26.2207
39490,1348.86,2.13,3.1275,26.8255,21.382,3.0675,29.2829,26.8168,25.5904
39491,1367.21,2.1,3.12125,24.0095,18.4897,3.065,28.1318,25.707,24.5061
39492,1348.86,2.13,3.11625,24.1289,20.0241,3.065,28.5634,26.1676,24.9789
39493,1350,2.13,3.11875,27.1371,20.7806,3.07,28.428,26.0727,24.9087
39497,1348.78,2.13,3.11063,26.0813,21.5722,3.07,28.515,26.1233,24.9495
39498,1360.03,2.11,3.1175,25.625,19.8635,3.07813,27.3735,25.129,24.0132
39499,1342.53,2.14,3.135,26.2135,20.498,3.0925,28.149,25.8378,24.6968
39500,1353.11,2.12,3.12,24.8863,19.2438,3.08,27.2213,24.9212,23.7872
39503,1371.8,2.09,3.12375,23.4627,18.5285,3.08938,26.8112,24.4511,23.283
39504,1381.29,2.08,3.125,22.2482,17.4836,3.09,25.9814,23.6789,22.5351
39505,1380.02,2.08,3.12188,22.9173,18.1262,3.085,26.5441,24.31,23.1893
39506,1367.68,2.1,3.11938,23.6096,18.9258,3.07563,26.988,24.7329,23.6057
39507,1330.63,2.15,3.11063,27.0987,21.9684,3.0575,29.3815,27.0719,25.9267
39510,1331.34,2.15,3.08625,26.7849,21.5136,3.01438,28.768,26.5285,25.4222
39511,1326.75,2.16,3.08,25.7182,21.4138,3.00813,28.54,26.3211,25.2156
39512,1333.7,2.15,3.075,24.3235,20.2455,3,27.7544,25.5702,24.4772
39513,1304.34,2.2,3.05813,27.0601,23.9263,2.99,29.836,27.5655,26.4407
39514,1293.37,2.21,3,26.8507,22.5016,2.93875,29.9335,27.6767,26.5387
39517,1273.37,2.25,2.935,28.6323,25.5856,2.90125,31.0592,28.8364,27.712
39518,1320.65,2.17,2.89,23.4362,21.5464,2.8675,28.921,26.7078,25.6008
39519,1308.77,2.19,2.86125,25.0544,21.3432,2.85,29.9933,27.6829,26.5435
39520,1315.48,2.18,2.8175,25.3564,21.6731,2.8,29.7854,27.5882,26.489
39521,1288.14,2.22,2.775,39.1707,31.1662,2.76375,31.9495,29.7782,28.687
39524,1276.6,2.24,2.55875,35.9864,29.3129,2.57875,32.2156,29.8948,28.7237
39525,1330.74,2.15,2.53563,24.9437,20.4201,2.54188,28.5909,26.3144,25.1722
39526,1298.42,2.2,2.59875,25.8481,22.2847,2.59875,31.1975,28.8532,27.6832
39527,1329.51,2.15,2.60625,28.476,21.4104,2.60625,29.7189,27.3561,26.1578
39531,1349.88,2.12,2.60625,27.1872,20.3626,2.60625,28.7527,26.4743,25.3191
39532,1352.99,2.12,2.65375,27.2026,20.3953,2.655,28.8403,26.5414,25.3706
39533,1341.13,2.14,2.6775,27.513,21.2951,2.67125,29.1925,26.9488,25.804
39534,1325.76,2.16,2.70375,26.7064,21.7268,2.69625,29.1152,26.9749,25.8801
39535,1315.22,2.17,2.70875,26.6102,21.513,2.6975,29.1429,27.034,25.9498
39538,1322.7,2.18,2.70313,26.6444,21.0945,2.68813,28.3109,26.2824,25.239
39540,1367.53,2.1,2.71,23.4835,18.8084,2.7,27.2306,25.1124,24.0261
39541,1369.31,2.1,2.74125,22.5803,18.947,2.7275,26.9595,24.9396,23.9004
39542,1370.4,2.1,2.73875,21.4275,17.1743,2.7275,26.3391,24.2997,23.2509
39545,1372.54,2.1,2.72438,21.6402,17.6771,2.71,25.9791,23.9183,22.8633
39546,1365.54,2.1,2.72156,19.5409,18.7725,2.71,26.0293,23.9769,22.9248
39547,1354.49,2.12,2.72688,19.5175,19.1277,2.71563,26.5155,24.4896,23.4526
39548,1360.55,2.11,2.7175,20.1642,16.6688,2.71,25.9267,23.8854,22.8429
39549,1332.83,2.16,2.71594,21.8265,18.9237,2.71313,27.0903,25.0223,23.9677
39552,1328.32,2.16,2.71313,24.7053,19.5222,2.70875,27.2943,25.1919,24.1288
39553,1334.43,2.15,2.71625,23.5707,19.1063,2.71594,26.5063,24.5039,23.4764
39554,1364.71,2.1,2.73219,16.4481,19.1396,2.73375,24.9029,22.91,21.882
39555,1365.56,2.09,2.8,18.7075,16.08,2.8175,24.8167,22.7542,21.6924
39556,1390.33,2.05,2.87375,21.0556,16.0636,2.9075,24.1755,22.0064,20.8989
39559,1388.17,2.06,2.8975,21.0669,16.2261,2.92,24.455,22.2851,21.1818
39560,1375.94,2.07,2.895,21.2015,17.0266,2.92,24.9306,22.7653,21.6628
39561,1379.93,2.07,2.895,20.6411,16.255,2.92,24.4895,22.356,21.2746
39562,1388.82,2.05,2.88625,20.2354,16.1689,2.90688,24.0478,21.9073,20.8168
39563,1397.84,2.04,2.88125,19.6997,15.7315,2.9125,23.4804,21.331,20.251
39566,1396.37,2.04,2.8625,19.6493,15.7727,2.89938,23.439,21.2851,20.1857
39567,1390.94,2.05,2.8275,20.0343,16.3497,2.87281,23.7517,21.6119,20.5212
39568,1385.59,2.06,2.8025,21.0658,17.0532,2.85,24.2882,22.0792,20.9362
39569,1409.34,2.03,2.72375,18.0576,14.5487,2.78438,22.8339,20.7209,19.5886
39570,1413.9,2.02,2.6975,16.2713,13.2665,2.77,22.5715,20.4001,19.2674
